t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, 0.0000, 0.0000, 6.2822, 0.0000, 9.5200, 0.0000, 0.0721, -0.5509, 0.3294, 0.3500, 0.0000, 0.0000
0.0200, -0.0100, 0.0000, 6.2822, 0.0000, -4.7600, 0.0000, -8.5057, 18.4809, -8.9984, 0.3500, 0.0000, 0.0000
0.0300, -0.0100, 0.0000, 6.2822, 11.8999, 0.0000, -2.3804, -10.4326, 19.1881, -9.3937, 0.3500, 0.0000, 0.0000
0.0400, -0.0200, 0.0000, 6.2822, -30.9399, 9.5199, -2.3804, -7.7466, 19.3821, -9.7700, 0.3500, 0.0000, 0.0000
0.0500, 0.0000, -0.0100, 6.2822, -2.3800, 7.1400, -2.3799, -9.9170, 20.3510, -10.2491, 0.3500, 0.0000, 0.0000
0.0600, 0.0000, 0.0000, 6.2822, 4.7600, 4.7600, 2.3799, -10.2034, 21.0687, -10.4977, 0.3500, 0.0000, 0.0000
0.0700, -0.0100, 0.0000, 6.2822, -19.0400, 4.7600, -2.3804, -10.3568, 21.7897, -10.8474, 0.3500, 0.0000, 0.0000
0.0800, 0.0000, 0.0100, 6.2822, 9.5199, -9.5199, 0.0000, -11.0880, 22.7398, -11.2930, 0.3500, 0.0000, 0.0000
0.0900, 0.0000, 0.0000, 6.2822, 0.0000, 21.4199, 30.9401, -11.1199, 22.5821, -13.2614, 0.3500, 0.0000, 0.0000
0.1000, 0.0000, 0.0000, 6.2822, 0.0000, -14.2800, 4.7603, -12.1329, 23.7812, -12.5488, 0.3500, 0.0000, 0.0000
0.1100, -0.3400, 0.2300, 6.2811, 2.3800, 0.0000, 2.3799, -12.5416, 23.8075, -12.4341, 0.3500, 0.0000, 0.0000
0.1200, 0.2900, -0.2600, 6.2789, 11.8999, 7.1400, 0.0000, -13.3537, 23.5039, -12.7447, 0.3500, 0.0000, 0.0000
0.1300, 0.9900, -0.3000, 6.2778, -7.1400, 0.0000, 2.3799, -12.7455, 22.7942, -13.0963, 0.3500, 0.0000, 0.0000
0.1400, 0.3700, -0.1900, 6.2767, -7.1399, -54.7399, -9.5201, -13.9014, 25.9322, -13.4034, 0.3500, 0.0000, 0.0000
0.1500, 0.6600, -0.2800, 6.2756, 0.0000, 14.2800, 2.3804, -14.1251, 22.5267, -13.5352, 0.3500, 0.0000, 0.0000
0.1600, 0.8500, 0.2100, 6.2722, -7.1400, 14.2800, 4.7598, -13.9630, 21.5591, -14.1404, 0.3500, 0.0000, 0.0000
0.1700, 0.3900, 1.0300, 6.2689, 0.0000, 0.0000, 0.0000, -14.6460, 20.4898, -14.6682, 0.3500, 0.0000, 0.0000
0.1800, 1.2100, 0.5900, 6.2633, 0.0000, 21.4199, 2.3799, -14.8623, 19.2052, -14.7912, 0.3500, 0.0000, 0.0000
0.1900, 0.4600, -0.6400, 6.2567, -9.5199, 7.1400, 0.0000, -15.3819, 18.9860, -15.1373, 0.3500, 0.0000, 0.0000
0.2000, 0.2500, -0.0500, 6.2489, -38.0799, 7.1400, 4.7603, -13.6660, 18.1437, -15.8466, 0.3500, 0.0000, 0.0000
0.2100, 0.6700, 0.3700, 6.2400, 2.3799, 11.9000, 0.0000, -16.1859, 18.1618, -15.5193, 0.3500, 0.0000, 0.0000
0.2200, 0.9300, -1.0300, 6.2322, 4.7599, 16.6600, 14.2798, -16.5692, 17.6111, -15.9240, 0.3500, 0.0000, 0.0000
0.2300, 0.4900, 1.0500, 6.2233, -16.6599, 0.0000, 0.0000, -16.5399, 18.5661, -17.4550, 0.3500, 0.0000, 0.0000
0.2400, 1.3400, 2.0000, 6.2133, -2.3799, 0.0000, 11.8999, -16.8309, 21.7725, -17.0101, 0.3500, 0.0000, 0.0000
0.2500, 1.0200, -1.7500, 6.2022, 4.7600, 4.7598, 7.1402, -17.2494, 21.5815, -17.1826, 0.3500, 0.0000, 0.0000
0.2600, -1.0500, -1.6200, 6.1933, -7.1400, 7.1397, -2.3799, -16.0023, 21.1850, -18.3332, 0.3500, 0.0000, 0.0000
0.2700, 0.9600, 1.0900, 6.1844, -19.0400, 7.1402, 0.0000, -15.5417, 20.9841, -17.4021, 0.3500, 0.0000, 0.0000
0.2800, 1.9900, 2.1700, 6.1767, -30.9399, 19.0401, 7.1402, -14.0003, 18.8202, -15.4581, 0.3500, 0.0000, 0.0000
0.2900, -0.6200, 0.3700, 6.1722, 7.1399, 11.9004, 4.7598, -14.1800, 19.7029, -16.2785, 0.3500, 0.0000, 0.0000
0.3000, 0.9500, 0.3600, 6.1678, -2.3800, 16.6597, -11.8999, -13.3234, 19.5940, -14.1718, 0.3500, 0.0000, 0.0000
