t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
0.0100, -0.0100, 0.0200, 0.0000, -14.2798, -16.6597, -7.1399, 2.2082, 1.6746, 0.3249, 0.3500, 0.0000, 0.0000
0.0200, 0.0000, 0.0000, 0.0000, 4.7598, -9.5196, 0.0000, -8.8818, 19.5304, -9.0220, 0.3500, 0.0000, 0.0000
0.0300, 0.0000, 0.0100, 0.0000, 4.7598, 0.0000, 9.5198, -9.5687, 19.9893, -10.0021, 0.3500, 0.0000, 0.0000
0.0400, 0.0100, 0.0300, 0.0000, 0.0000, 0.0000, 0.0000, -9.6519, 20.5439, -9.9209, 0.3500, 0.0000, 0.0000
0.0500, 0.0000, 0.0000, 0.0000, 2.3799, 16.6597, 0.0000, -10.0457, 20.7028, -10.2766, 0.3500, 0.0000, 0.0000
0.0600, 0.0000, 0.0100, 0.0000, 0.0000, 0.0000, 0.0000, -10.4249, 21.7894, -10.5064, 0.3500, 0.0000, 0.0000
0.0700, 0.0000, 0.0000, 0.0000, 4.7598, 0.0000, 0.0000, -11.3756, 22.4497, -10.9614, 0.3500, 0.0000, 0.0000
0.0800, 0.0000, 0.0000, 0.0000, 14.2798, -9.5196, 0.0000, -12.3622, 23.1361, -11.2373, 0.3500, 0.0000, 0.0000
0.0900, 0.0000, 0.0000, 0.0000, 4.7598, 9.5196, 7.1399, -11.7406, 23.3624, -11.7063, 0.3500, 0.0000, 0.0000
0.1000, 0.0000, 0.0100, 0.0000, -23.7999, 9.5196, -4.7600, -10.8213, 24.0511, -11.7202, 0.3500, 0.0000, 0.0000
0.1100, -0.1200, 0.0300, 6.2822, 14.2798, 0.0000, 2.3799, -12.3010, 24.5160, -12.7192, 0.3500, 0.0000, 0.0000
0.1200, -0.6000, 0.2500, 6.2811, -19.0401, 0.0000, -2.3799, -12.2890, 25.0332, -12.5867, 0.3500, 0.0000, 0.0000
0.1300, 0.4800, -0.0400, 6.2811, -2.3804, 11.8999, 4.7600, -12.2558, 24.6496, -12.8077, 0.3500, 0.0000, 0.0000
0.1400, 0.5300, -0.2100, 6.2811, -4.7598, 0.0000, 7.1399, -13.3776, 25.3978, -13.7136, 0.3500, 0.0000, 0.0000
0.1500, 1.0900, -0.2300, 6.2789, 14.2798, 9.5201, 19.0399, -13.4607, 25.7904, -14.5924, 0.3500, 0.0000, 0.0000
0.1600, 1.4600, 0.4700, 6.2767, -26.1798, 4.7598, 0.0000, -13.5081, 25.6909, -14.1638, 0.3500, 0.0000, 0.0000
